71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274  = 138
93 225  = 369
219 150 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 150 121 114 115  = 1
219  = 745
105 121  = 2220
239 240 235 237 198  = 2
132  = 232
37 21 21 21 24 25 42 42  = 655
37 21 21 0 42 42 42  = 5
244 24 25 21 25 244 25 244 24 25 21 25 21 25  = 9
150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150  = 114
215 215 215 215 215 215 215  = 344
21  = 774
150 71 71 123 123 123 123 123 123 123 97 65 73 68 112  = 376
71 71  = 920
21 24 25 21 24 25 21 21 24 25 42 37 21 21 24 25 21 21 42 42  = 1
274 274 274  = 965
121  = 548
150 150 150 150 150 150  = 984
219 121 114 115 219 121 114 115  = 382
105 105 105 105 105 121  = 970
244 24 25 21 25 244 25 37 21 24 25 21 25 21 25 21 42 42  = 11
116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116  = 163
80  = 1104
136  = 452
271  = 210
101  = 650
71 71 71 71  = 56
274 73 73  = 400
71 71 71  = 19
123 123 123 123 123 123 123  = 22
244 24 25 21 25 21 25  = 36
150 150 150 150  = 1374
71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274  = 90
37 21 21 0 42  = 419
154 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123  = 1
150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150  = 180
244 244 0 24 25  = 20
227  = 2751
123 123 123 123  = 72
244 244 0 24 25 42  = 14
244 24 25 21 25 244 25 37 21 24 25 21 25 21 25 21 42  = 25
23  = 8
150 150 150 150 150 150 150 150 150 150 150 150 150 150  = 246
244 24 25 21 25 21 25 21 25  = 3
116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116 121 116  = 5
244 24 25 244 25 244 25 0  = 410
154 123 123 123 123 123 103  = 43
45  = 446
166  = 377
219 150 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 150 121 114 115  = 1
219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115  = 6
244 24 25 21 25 244 25 244 24 25 21 25 244 25 244 24 25 21 25 244 25 244 24 25 21 25 244 25 244 24 25 21 25 244 25  = 11
133  = 861
150 150 150 150 150 150 150 150 150 150 150 150 150  = 283
288  = 656
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123  = 721
32  = 145
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123  = 468
244 24 25 21 25 21 25 244 24 25 21 25 21 25 37 21 24 25 21 25 21 25 21 42  = 1
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123  = 123
160 89 79 76  = 836
121 114 115 121 114 115 121 114 115 121 114 115  = 9
37 21 21 21 21 42  = 93
37 21 42 42  = 180
188  = 545
79 76 103  = 208
37 21 21 21 0 42  = 186
244 0  = 196
248  = 321
37 21 21  = 135
215 215 215 215 215 215 215 215 215 215 215 215 215 215 215  = 70
62  = 1057
42 42  = 25
123 123  = 1057
244 24 25 244 25 244 25 244 24 25  = 63
150 150 150 150 150 150 150 150 150 150 150 150  = 376
93 225 73  = 530
93 274 123  = 232
244 24 25 21 25  = 261
123 123 123 123 123 123  = 36
244 24 25 244 244 0 21 24 25 21  = 1
116 121 116 121 116 121 116  = 363
244 24 25 21 25 244 25 244 24 25 21 25 244 25 244 24 25 21 25 244 25 42 244 24 25 21 25 244 25 42 244 24 25 21 25 244 25 42 244 24 25 21 25 244 25 42 244 24 25 21 25 244 25 42  = 8
116 121 116 121 116  = 574
225  = 201
215 215 215 215 215 215 215 215  = 240
71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274  = 269
71 123 123  = 73
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123  = 60
24 25 42  = 205
